player,win_count,tournament_win_probability
Sinner J.,104,0.208
Djokovic N.,63,0.126
Fritz T.,51,0.102
Zverev A.,41,0.082
De Minaur A.,29,0.058
Tiafoe F.,20,0.04
Jodar R.,19,0.038
Paul T.,16,0.032
Davidovich Fokina A.,11,0.022
Bublik A.,11,0.022
Lehecka J.,10,0.02
Berrettini M.,8,0.016
Hurkacz H.,8,0.016
Tien L.,8,0.016
Medvedev D.,7,0.014
Struff J.L.,7,0.014
Mensik J.,7,0.014
Auger-Aliassime F.,6,0.012
Cobolli F.,6,0.012
Nakashima B.,5,0.01
Fils A.,4,0.008
Khachanov K.,4,0.008
Fonseca J.,4,0.008
Dimitrov G.,4,0.008
Marozsan F.,3,0.006
Majchrzak K.,3,0.006
De Jong J.,3,0.006
Tsitsipas S.,3,0.006
Brooksby J.,3,0.006
Van De Zandschulp B.,3,0.006
Fucsovics M.,2,0.004
Buse I.,2,0.004
Halys Q.,2,0.004
Faria J.,2,0.004
Prizmic D.,2,0.004
Bergs Z.,2,0.004
Hanfmann Y.,2,0.004
Giron M.,2,0.004
Safiullin R.,1,0.002
Mochizuki S.,1,0.002
Munar J.,1,0.002
Sonego L.,1,0.002
Choinski J.,1,0.002
Molcan A.,1,0.002
Virtanen O.,1,0.002
Svajda Z.,1,0.002
Diallo G.,1,0.002
Fery A.,1,0.002
Ofner S.,1,0.002
Landaluce M.,1,0.002
Merida Aguilar D.,1,0.002
Kecmanovic M.,0,0.0
Basing M.,0,0.0
Medjedovic H.,0,0.0
Ugo Carabelli C.,0,0.0
Ruud C.,0,0.0
Rublev A.,0,0.0
Svrcina D.,0,0.0
Damm M.,0,0.0
Kovacevic A.,0,0.0
Trungelliti M.,0,0.0
Vukic A.,0,0.0
Carreno Busta P.,0,0.0
Gill F.,0,0.0
Wendelken H.,0,0.0
Royer V.,0,0.0
Shimabukuro S.,0,0.0
Wu Y.,0,0.0
Shevchenko A.,0,0.0
Vallejo D.,0,0.0
Mejia N.,0,0.0
Cerundolo J.M.,0,0.0
Tirante T.A.,0,0.0
Cilic M.,0,0.0
Rinderknech A.,0,0.0
Quinn E.,0,0.0
Baez S.,0,0.0
Darderi L.,0,0.0
Kwon S.W.,0,0.0
Gaston H.,0,0.0
Bautista Agut R.,0,0.0
Borges N.,0,0.0
Boyer T.,0,0.0
Walton A.,0,0.0
Tarvet O.,0,0.0
Shapovalov D.,0,0.0
Nava E.,0,0.0
Van Assche L.,0,0.0
Norrie C.,0,0.0
Zheng M.,0,0.0
Muller A.,0,0.0
Arnaldi M.,0,0.0
Dzumhur D.,0,0.0
Shelton B.,0,0.0
Mpetshi Perricard G.,0,0.0
Tabilo A.,0,0.0
Gaubas V.,0,0.0
Jacquet K.,0,0.0
Pinnington Jones J.,0,0.0
Humbert U.,0,0.0
Kokkinakis T.,0,0.0
Hijikata R.,0,0.0
Llamas Ruiz P.,0,0.0
Lajovic D.,0,0.0
Bonzi B.,0,0.0
Droguet T.,0,0.0
Mannarino A.,0,0.0
Michelsen A.,0,0.0
Burruchaga R.,0,0.0
Fearnley J.,0,0.0
Mcdonald M.,0,0.0
Cerundolo F.,0,0.0
Collignon R.,0,0.0
Blockx A.,0,0.0
Etcheverry T.,0,0.0
Moutet C.,0,0.0
Samuel T.,0,0.0
Harris B.,0,0.0
Kypson P.,0,0.0
Griekspoor T.,0,0.0
Popyrin A.,0,0.0
Sweeny D.,0,0.0
Duckworth J.,0,0.0
Wawrinka S.,0,0.0
Altmaier D.,0,0.0
Kopriva V.,0,0.0
Navone M.,0,0.0
Atmane T.,0,0.0
