player,win_count,tournament_win_probability,upcoming_opponent,upcoming_match_win_probability
Djokovic N.,2002,0.2002,Tirante T.A.,0.8375765934777871
Zverev A.,1322,0.1322,Norrie C.,0.7327395515935634
Medvedev D.,906,0.0906,Trungelliti M.,0.8779637710041216
Auger-Aliassime F.,723,0.0723,Tsitsipas S.,0.7199611854941743
Shelton B.,707,0.0707,Faria J.,0.8260977434104313
Mensik J.,436,0.0436,Bellucci M.,0.8119361139565683
Fritz T.,404,0.0404,Michelsen A.,0.6175824828816768
Tien L.,390,0.039,Baez S.,0.785378388329164
Fils A.,384,0.0384,Hanfmann Y.,0.706502227706113
Nakashima B.,295,0.0295,Kovacevic A.,0.7938188999354705
Musetti L.,224,0.0224,Altmaier D.,0.7524433965569227
Paul T.,216,0.0216,Hurkacz H.,0.6230816091955573
Tiafoe F.,215,0.0215,Sonego L.,0.6743692340304733
Lehecka J.,169,0.0169,Berrettini M.,0.6059356575410102
Jodar R.,155,0.0155,Shapovalov D.,0.5855790392086744
Fonseca J.,139,0.0139,Vandezandschulp B.,0.7141689178564854
Vacherot V.,121,0.0121,Vallejo D.,0.6671927507139086
Rublev A.,112,0.0112,Carrenobusta P.,0.6682371748928166
Ruud C.,106,0.0106,O Connell C.,0.7231146127252678
Humbert U.,102,0.0102,Zheng M.,0.7000785036254626
Cerundolo F.,95,0.0095,Borges N.,0.6032320365906133
Michelsen A.,70,0.007,Fritz T.,0.38241751711832317
Shapovalov D.,69,0.0069,Jodar R.,0.4144209607913257
Norrie C.,62,0.0062,Zverev A.,0.2672604484064366
Tabilo A.,59,0.0059,Struff J.L.,0.6459238176964398
Cobolli F.,55,0.0055,Kecmanovic M.,0.5892953493734994
Tsitsipas S.,45,0.0045,Auger-Aliassime F.,0.2800388145058257
Hurkacz H.,34,0.0034,Paul T.,0.37691839080444267
Berrettini M.,34,0.0034,Lehecka J.,0.3940643424589898
Merida Aguilar D.,32,0.0032,Bergs Z.,0.5110785604114658
Atmane T.,31,0.0031,Etcheverry T.,0.528107850819199
Rinderknech A.,26,0.0026,Cerundolo J.M.,0.5806469969622327
Bergs Z.,24,0.0024,Merida Aguilar D.,0.4889214395885342
Buse I.,20,0.002,Walton A.,0.6334544306260852
Tirante T.A.,17,0.0017,Djokovic N.,0.16242340652221288
Fery A.,17,0.0017,Duckworth J.,0.591269702177155
Borges N.,17,0.0017,Cerundolo F.,0.3967679634093867
Hanfmann Y.,16,0.0016,Fils A.,0.29349777229388696
Etcheverry T.,15,0.0015,Atmane T.,0.471892149180801
Sonego L.,12,0.0012,Tiafoe F.,0.32563076596952667
Carrenobusta P.,11,0.0011,Rublev A.,0.33176282510718336
Kecmanovic M.,11,0.0011,Cobolli F.,0.41070465062650063
Halys Q.,10,0.001,Deminaur A.,0.5051308970748657
Cerundolo J.M.,9,0.0009,Rinderknech A.,0.41935300303776735
Deminaur A.,9,0.0009,Halys Q.,0.4948691029251343
Blockx A.,9,0.0009,Navone M.,0.5751018630450114
Vallejo D.,9,0.0009,Vacherot V.,0.33280724928609146
Struff J.L.,8,0.0008,Tabilo A.,0.3540761823035602
Hijikata R.,8,0.0008,Darderi L.,0.4431191476064883
Arnaldi M.,5,0.0005,Landaluce M.,0.523681389949457
Darderi L.,5,0.0005,Hijikata R.,0.5568808523935117
Vandezandschulp B.,5,0.0005,Fonseca J.,0.28583108214351466
Landaluce M.,5,0.0005,Arnaldi M.,0.476318610050543
Duckworth J.,4,0.0004,Fery A.,0.408730297822845
Altmaier D.,4,0.0004,Musetti L.,0.24755660344307728
Bellucci M.,2,0.0002,Mensik J.,0.18806388604343172
O Connell C.,2,0.0002,Ruud C.,0.2768853872747322
Trungelliti M.,2,0.0002,Medvedev D.,0.1220362289958784
Faria J.,2,0.0002,Shelton B.,0.17390225658956873
Navone M.,1,0.0001,Blockx A.,0.42489813695498857
Kovacevic A.,1,0.0001,Nakashima B.,0.2061811000645295
Choinski J.,0,0.0,,
Collignon R.,0,0.0,,
Fucsovics M.,0,0.0,,
Dimitrov G.,0,0.0,,
Baez S.,0,0.0,Tien L.,0.21462161167083604
Kopriva V.,0,0.0,,
Shimabukuro S.,0,0.0,,
Royer V.,0,0.0,,
Monfils G.,0,0.0,,
Jacquet K.,0,0.0,,
Wong C.,0,0.0,,
Svajda Z.,0,0.0,,
Burruchaga R.,0,0.0,,
Draper J.,0,0.0,,
Prizmic D.,0,0.0,,
Ugocarabelli C.,0,0.0,,
Mannarino A.,0,0.0,,
Khachanov K.,0,0.0,,
Brooksby J.,0,0.0,,
Machac T.,0,0.0,,
Wolf J.J.,0,0.0,,
Zheng M.,0,0.0,Humbert U.,0.2999214963745374
Cilic M.,0,0.0,,
Marozsan F.,0,0.0,,
Walton A.,0,0.0,Buse I.,0.36654556937391486
Shang J.,0,0.0,,
Medjedovic H.,0,0.0,,
Kokkinakis T.,0,0.0,,
Mejia N.,0,0.0,,
Vanassche L.,0,0.0,,
Droguet T.,0,0.0,,
Shevchenko A.,0,0.0,,
Majchrzak K.,0,0.0,,
De Jong J.,0,0.0,,
Lajal M.,0,0.0,,
