player,win_count,tournament_win_probability
Zverev A.,1713,0.1713
Medvedev D.,1127,0.1127
Fils A.,525,0.0525
Fritz T.,515,0.0515
Shelton B.,432,0.0432
Michelsen A.,408,0.0408
Shapovalov D.,387,0.0387
Lehecka J.,306,0.0306
Norrie C.,299,0.0299
Tiafoe F.,277,0.0277
Musetti L.,275,0.0275
Mensik J.,253,0.0253
Tsitsipas S.,195,0.0195
Munar J.,193,0.0193
Rublev A.,188,0.0188
Cilic M.,187,0.0187
Nakashima B.,173,0.0173
Monfils G.,163,0.0163
Griekspoor T.,148,0.0148
Paul T.,148,0.0148
Marozsan F.,122,0.0122
Tien L.,117,0.0117
Hanfmann Y.,113,0.0113
Ruud C.,113,0.0113
Jodar R.,102,0.0102
Vacherot V.,102,0.0102
Humbert U.,91,0.0091
Hurkacz H.,91,0.0091
Brooksby J.,89,0.0089
Cobolli F.,88,0.0088
Cerundolo F.,84,0.0084
Fonseca J.,79,0.0079
Moutet C.,74,0.0074
Borges N.,72,0.0072
Atmane T.,70,0.007
Tirante T.A.,56,0.0056
Merida Aguilar D.,55,0.0055
Droguet T.,42,0.0042
Kecmanovic M.,40,0.004
Rinderknech A.,39,0.0039
Etcheverry T.,39,0.0039
Cerundolo J.M.,38,0.0038
Diallo G.,33,0.0033
Tabilo A.,31,0.0031
Buse I.,29,0.0029
Shang J.,28,0.0028
Baez S.,27,0.0027
Kopriva V.,27,0.0027
Faria J.,25,0.0025
Vandezandschulp B.,23,0.0023
Popyrin A.,21,0.0021
Khachanov K.,20,0.002
Blockx A.,17,0.0017
Collignon R.,16,0.0016
Altmaier D.,15,0.0015
Royer V.,12,0.0012
Bergs Z.,10,0.001
Mejia N.,10,0.001
Deminaur A.,8,0.0008
Duckworth J.,6,0.0006
Fearnley J.,4,0.0004
Svajda Z.,3,0.0003
Navone M.,3,0.0003
Arnaldi M.,2,0.0002
Darderi L.,2,0.0002
Mpetshiperricard G.,0,0.0
Giron M.,0,0.0
Burruchaga R.,0,0.0
Struff J.L.,0,0.0
Draxl L.,0,0.0
Majchrzak K.,0,0.0
Carrenobusta P.,0,0.0
Sonego L.,0,0.0
Mochizuki S.,0,0.0
Chan D.,0,0.0
Draper J.,0,0.0
Damm M.,0,0.0
Mannarino A.,0,0.0
Walton A.,0,0.0
Bellucci M.,0,0.0
Berrettini M.,0,0.0
Andaluce M.,0,0.0
Hijikata R.,0,0.0
Fucsovics M.,0,0.0
Galarneau A.,0,0.0
Medjedovic H.,0,0.0
Ugocarabelli C.,0,0.0
O Connell C.,0,0.0
Bonzi B.,0,0.0
Kovacevic A.,0,0.0
Vallejo D.,0,0.0
Jacquet K.,0,0.0
Zheng M.,0,0.0
Shimabukuro S.,0,0.0
Vukic A.,0,0.0
Vanassche L.,0,0.0
