player,win_count,tournament_win_probability,own_match_win_probability
Zverev A.,2052,0.2052,0.7623600069292185
Auger-Aliassime F.,1503,0.1503,0.7290324277673239
Medvedev D.,1214,0.1214,0.8586706660791438
Fritz T.,1011,0.1011,0.6397630940823685
Mensik J.,721,0.0721,0.8199892315609381
Fils A.,536,0.0536,0.723075552851482
Musetti L.,419,0.0419,0.772569022157612
Paul T.,402,0.0402,0.6915452913280334
Lehecka J.,360,0.036,0.610679514972477
Tien L.,294,0.0294,0.7409162888154468
Tiafoe F.,251,0.0251,0.6700002299527197
Rublev A.,192,0.0192,0.6918970797802726
Jodar R.,181,0.0181,0.49231531903276043
Fonseca J.,132,0.0132,0.651045764827298
Tabilo A.,122,0.0122,0.6760778871812055
Nakashima B.,121,0.0121,0.7278755535954137
Cobolli F.,80,0.008,0.5840275753309293
Merida Aguilar D.,48,0.0048,0.47809286315621274
Faria J.,45,0.0045,0.2233029072496312
Tirante T.A.,40,0.004,0.1180724260975291
Fery A.,38,0.0038,0.6239591248276514
Borges N.,36,0.0036,0.3471829371988695
Landaluce M.,35,0.0035,0.5434304683842093
Atmane T.,27,0.0027,0.45419579098965557
Blockx A.,27,0.0027,0.6326782025305822
Vallejo D.,26,0.0026,0.3205700558302743
Hijikata R.,23,0.0023,0.49838301261803386
Cerundolo J.M.,22,0.0022,0.4111793572833021
Deminaur A.,18,0.0018,0.4637288325362756
Zheng M.,8,0.0008,0.29213086561765983
O Connell C.,8,0.0008,0.2651780748390391
Walton A.,8,0.0008,0.35325500397226867
Dimitrov G.,0,0.0,
Baez S.,0,0.0,0.2590837111845532
Halys Q.,0,0.0,0.5362711674637244
Kopriva V.,0,0.0,
Hurkacz H.,0,0.0,0.30845470867196656
Shimabukuro S.,0,0.0,
Tsitsipas S.,0,0.0,0.2709675722326761
Royer V.,0,0.0,
Altmaier D.,0,0.0,0.22743097784238797
Wong C.,0,0.0,
Jacquet K.,0,0.0,
Bellucci M.,0,0.0,0.18001076843906194
Monfils G.,0,0.0,
Svajda Z.,0,0.0,
Collignon R.,0,0.0,
Fucsovics M.,0,0.0,
Draper J.,0,0.0,
Struff J.L.,0,0.0,0.32392211281879446
Navone M.,0,0.0,0.36732179746941784
Kecmanovic M.,0,0.0,0.4159724246690707
Mannarino A.,0,0.0,
Ugocarabelli C.,0,0.0,
Shapovalov D.,0,0.0,0.5076846809672395
Choinski J.,0,0.0,
Norrie C.,0,0.0,0.23763999307078154
Prizmic D.,0,0.0,
Burruchaga R.,0,0.0,
Vanassche L.,0,0.0,
Duckworth J.,0,0.0,0.37604087517234863
Wolf J.J.,0,0.0,
Vandezandschulp B.,0,0.0,0.348954235172702
Hanfmann Y.,0,0.0,0.27692444714851805
Khachanov K.,0,0.0,
Kovacevic A.,0,0.0,0.27212444640458633
Brooksby J.,0,0.0,
Cilic M.,0,0.0,
Marozsan F.,0,0.0,
Sonego L.,0,0.0,0.32999977004728037
Medjedovic H.,0,0.0,
Trungelliti M.,0,0.0,0.14132933392085623
Mejia N.,0,0.0,
Kokkinakis T.,0,0.0,
Shang J.,0,0.0,
Majchrzak K.,0,0.0,
Shevchenko A.,0,0.0,
Michelsen A.,0,0.0,0.36023690591763147
De Jong J.,0,0.0,
Lajal M.,0,0.0,
Berrettini M.,0,0.0,0.38932048502752303
Droguet T.,0,0.0,
Carrenobusta P.,0,0.0,0.3081029202197274
Machac T.,0,0.0,
Arnaldi M.,0,0.0,0.4565695316157907
Darderi L.,0,0.0,0.5016169873819661
Vacherot V.,0,0.0,0.6794299441697257
Djokovic N.,0,0.0,0.8819275739024709
Etcheverry T.,0,0.0,0.5458042090103444
Ruud C.,0,0.0,0.7348219251609609
Rinderknech A.,0,0.0,0.5888206427166979
Humbert U.,0,0.0,0.7078691343823402
Cerundolo F.,0,0.0,0.6528170628011305
Bergs Z.,0,0.0,0.5219071368437873
Buse I.,0,0.0,0.6467449960277314
Shelton B.,0,0.0,0.7766970927503688
