player,win_count,tournament_win_probability
Djokovic N.,1098,0.2196
Zverev A.,627,0.1254
Auger-Aliassime F.,443,0.0886
Medvedev D.,387,0.0774
Fritz T.,297,0.0594
Draper J.,275,0.055
Shelton B.,272,0.0544
De Minaur A.,206,0.0412
Mensik J.,166,0.0332
Machac T.,99,0.0198
Fils A.,96,0.0192
Dimitrov G.,90,0.018
Tiafoe F.,85,0.017
Paul T.,81,0.0162
Tien L.,76,0.0152
Lehecka J.,72,0.0144
Ruud C.,67,0.0134
Vacherot V.,56,0.0112
Musetti L.,54,0.0108
Humbert U.,50,0.01
Michelsen A.,46,0.0092
Fonseca J.,41,0.0082
Jodar R.,38,0.0076
Shapovalov D.,32,0.0064
Cobolli F.,31,0.0062
Nakashima B.,25,0.005
Cerundolo F.,24,0.0048
Tabilo A.,22,0.0044
Monfils G.,16,0.0032
Rublev A.,13,0.0026
Rinderknech A.,11,0.0022
Berrettini M.,10,0.002
Buse I.,9,0.0018
Majchrzak K.,8,0.0016
Griekspoor T.,7,0.0014
Marozsan F.,7,0.0014
Cilic M.,6,0.0012
Fery A.,6,0.0012
Bergs Z.,5,0.001
Etcheverry T.,4,0.0008
Norrie C.,4,0.0008
Burruchaga R.,3,0.0006
TBD (Qualifier 6),3,0.0006
Hurkacz H.,3,0.0006
Sonego L.,3,0.0006
Blockx A.,3,0.0006
Hanfmann Y.,2,0.0004
Tsitsipas S.,2,0.0004
Kokkinakis T.,2,0.0004
TBD (Qualifier 11),2,0.0004
Medjedovic H.,2,0.0004
Tirante T.A.,2,0.0004
Khachanov K.,2,0.0004
TBD (Qualifier 2),2,0.0004
Fucsovics M.,2,0.0004
Hijikata R.,1,0.0002
Arnaldi M.,1,0.0002
Mannarino A.,1,0.0002
Merida Aguilar D.,1,0.0002
Cerundolo J.M.,1,0.0002
Landaluce M.,0,0.0
Atmane T.,0,0.0
Navone M.,0,0.0
Collignon R.,0,0.0
TBD (Qualifier 3),0,0.0
Walton A.,0,0.0
Kovacevic A.,0,0.0
TBD (Qualifier 1),0,0.0
Bellucci M.,0,0.0
Svajda Z.,0,0.0
Carreno Busta P.,0,0.0
Van De Zandschulp B.,0,0.0
Struff J.L.,0,0.0
Prizmic D.,0,0.0
Kecmanovic M.,0,0.0
Ugo Carabelli C.,0,0.0
Choinski J.,0,0.0
Kopriva V.,0,0.0
TBD (Qualifier 13),0,0.0
Vallejo D.,0,0.0
TBD (Qualifier 4),0,0.0
TBD (Qualifier 5),0,0.0
Duckworth J.,0,0.0
TBD (Qualifier 12),0,0.0
De Jong J.,0,0.0
TBD (Qualifier 10),0,0.0
Baez S.,0,0.0
Shang J.,0,0.0
Altmaier D.,0,0.0
Royer V.,0,0.0
Brooksby J.,0,0.0
Borges N.,0,0.0
TBD (Qualifier 7),0,0.0
TBD (Qualifier 8),0,0.0
TBD (Qualifier 9),0,0.0
Darderi L.,0,0.0
